"Abbreviation","Species","MWMT_overlap","CMD_overlap","Relative_frequency"
"Lepcrt","Leptogium_corticola",0.658381557758178,0.209131773882449,0.001
"Lepcya","Leptogium_cyanescens",0.926052039510057,0.848170360736423,0.02
"Lepfur","Leptogium_pseudofurfuraceum",0.816448842903079,0.849451041121555,0.014
"Leplac","Leptogium_laceroides",0.169359908319801,0.174386877080809,0.001
"Leplic","Scytinium_lichenoides",0.705152390552705,0.63054659320973,0.009
"Lepmil","Leptogium_milligranum",0.415804473205798,0.436305056443939,0.001
"Leppol","Scytinium_polycarpum",0.564090057815993,0.754643020255452,0.007
"Lepsat","Leptogium_saturninum",0.80811736780107,0.672684902664351,0.014
"Lepter","Scytinium_teretiusculum",0.457746665712683,0.0759589847182364,0.001
"Letcol","Letharia_columbiana",0.846484538740816,0.881497421530536,0.096
"Letvul","Letharia_vulpina",0.8617232674999,0.864988111219444,0.205
"Lobamp","Lobaria_amplissima",0.337468254149541,0.0691916630859861,0.002
"Lobhal","Lobaria_hallii",0.801852267982272,0.711278468715337,0.007
"Loblin","Lobaria_linita",0.59970432172242,0.460434705991296,0.032
"Lobore","Lobaria_oregana",0.668656020767487,0.454640566319142,0.043
"Lobpul","Lobaria_pulmonaria",0.723337463057574,0.723041661749031,0.083
"Lobque","Lobaria_quercizans",0.712529458093947,0.775268434259675,0.017
"Lobrav","Lobaria_ravenelii",0.08253173846273,0.148422378523917,0
"Lobret","Lobaria_retigera",0.36129030145013,0.854481612261528,0.001
"Lobscr","Lobaria_scrobiculata",0.748781406727236,0.701573331133798,0.026
"Lpcalb","Leptochidium_albociliatum",0.695857364292533,0.39067401854912,0.001
"Melalb","Melanelixia_albertana",0.237128651536736,0.249236456249719,0.001
"Melele","Melanohalea_elegantula",0.885122106512537,0.860272507890232,0.13
"Melexa","Melanohalea_exasperata",0.488845269513266,0.769443485256038,0.005
"Melexl","Melanohalea_exasperatula",0.903866303300917,0.697494888384166,0.179
"Melgla","Melanelixia_glabratula",0.726988610660134,0.733628728816879,0.051
"Melhal","Melanohalea_halei",0.811678760836534,0.754841006893941,0.007
"Melmul","Melanohalea_multispora",0.796390000568925,0.810456189838994,0.013
"Meloli","Melanohalea_olivacea",0.639854750572807,0.720226135166784,0.009
"Melsar","Melanelixia_subargentifera",0.658201099553887,0.513980271579463,0.011
"Melsel","Melanohalea_subelegantula",0.843021991873973,0.860940520890929,0.042
"Melsep","Melanohalea_septentrionalis",0.480446042950861,0.854581737851766,0.024
"Melsol","Melanohalea_subolivacea",0.959082548811492,0.888507615148639,0.201
"Melsub","Melanelixia_subaurifera",0.762719888388316,0.913455870845481,0.131
"Meltra","Melanohalea_trabeculata",0.646682551062341,0.427143311032978,0.001
"Mensub","Menegazzia_subsimilis",0.586499327739634,0.314552379480846,0.001
"Menter","Menegazzia_terebrata",0.890534869928838,0.69517569747793,0.024
"Myeaur","Myelochroa_aurulenta",0.810152948808919,0.90722918506313,0.106
"Myegal","Myelochroa_galbina",0.84991106807398,0.936018290437439,0.056
"Myemet","Myelochroa_metarevoluta",0.0893862739172652,0.603803698844405,0.001
"Nepbel","Nephroma_bellum",0.585964060237057,0.427157337667084,0.026
"Nephel","Nephroma_helveticum",0.7583268134307,0.714413034725742,0.035
"Nepisi","Nephroma_isidiosum",0.748770745426973,0.47365388123145,0.005
"Neplae","Nephroma_laevigatum",0.785808818032918,0.655530151268903,0.01
"Nepocc","Nephroma_occultum",0.844948778426796,0.782121418098389,0.001
"Neppar","Nephroma_parile",0.574029878508006,0.802340094773063,0.015
"Nepres","Nephroma_resupinatum",0.770312990582123,0.699506860240712,0.029
"Niecep","Niebla_cephalota",0.480573719588289,0.540477697072217,0.001
"Nodabb","Nodobryoria_abbreviata",0.883220486888996,0.903461121669013,0.11
"Nodore","Nodobryoria_oregana",0.879477682074336,0.919979242883209,0.049
"Panahl","Fuscopannaria_ahlneri",0.599994877457653,0.817817280575275,0.003
"Pancon","Pannaria_conoplea",0.30947768767786,0.17363821859906,0
"Panled","Fuscopannaria_leucostictoides",0.607459693223298,0.099621431055065,0.006
"Panleu","Fuscopannaria_leucosticta",0.773500157908089,0.00934475217528661,0
"Panmed","Fuscopannaria_mediterranea",0.65517726411537,0.87345809623002,0.004
"Panpac","Fuscopannaria_pacifica",0.817984419769653,0.832729947812181,0.005
"Panrub","Pannaria_rubiginosa",0.645348049942004,0.561524577556222,0.001
"Pantav","Pannaria_tavaresii",0.79312535447508,0.215747773197393,0.001
"Parbar","Parmelia_barrenoae",0.601052943549668,0.65520135570589,0.003
"Parfer","Parmelia_fertilis",0.643214799242979,0.934879924258184,0.001
"Parhyg","Parmelia_hygrophila",0.83868334148963,0.885767343514527,0.104
"Parpse","Parmelia_pseudosulcata",0.734938346987056,0.705873406345383,0.019
"Parsax","Parmelia_saxatilis",0.785882782312232,0.795965632986829,0.037
"Parsqu","Parmelia_squarrosa",0.840865498211698,0.871048303969233,0.083
"Parsul","Parmelia_sulcata",0.760484798482959,0.919031544726438,0.317
"Pclchl","Physciella_chloantha",0.738838718568635,0.635938060853,0.033
"Pclmel","Physciella_melanchra",0.920617292695435,0.61137933150686,0.005
"Pclnep","Physciella_nepalensis",0.848150044283832,0.852505392880232,0.002
"Pcyano","Lobaria_anomala",0.797058755621819,0.801478767440253,0.036
"Pcyant","Lobaria_anthraspis",0.798577851892383,0.896775507485333,0.02
"Pcyaur","Pseudocyphellaria_aurata",0.811582157130596,0.824102928353435,0.001
"Pcycro","Pseudocyphellaria_crocata",0.737877297672543,0.715097916361687,0.019
"Pcymal","Pseudocyphellaria_mallota",0.662008973008483,0.0431316986740034,0.001
"Pcyper","Pseudocyphellaria_hawaiiensis",0.3038309004873,0.576016477948059,0.004
"Pcyrai","Pseudocyphellaria_rainierensis",0.639256654930222,0.59299921586188,0.004
"Pelbri","Peltigera_britannica",0.629005486897602,0.455320912079544,0.024
"Pelcol","Peltigera_collina",0.731270294001022,0.838861975126061,0.06
"Peleli","Peltigera_elisabethae",0.728343961371199,0.654130845963958,0.001
"Pelmem","Peltigera_membranacea",0.798302420736074,0.795816615527188,0.013
"Pelneo","Peltigera_neopolydactyla",0.523631326630684,0.526451170258729,0.014
"Pelpol","Peltigera_polydactyla",0.620710140025592,0.502723250059805,0.002
"Pelpra","Peltigera_praetextata",0.740605584452222,0.740520330951893,0.003
"Pevcla","Pseudevernia_cladonia",0.883187166720822,0.806560636254287,0.002
"Pevcon","Pseudevernia_consocians",0.649011037627937,0.668181476936525,0.008
"Pevint","Pseudevernia_intensa",0.731244846787698,0.789173988969884,0.009
